Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,Price
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,"	PH15 2EB",286580,749680,42.99
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,"	AB38 9PJ",326340,842570,59.99
AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,"	AB5 5LI",352960,839320,
Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,"	PA42 7EB",141560,646220,48.99
Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,"	AB54 4NH",355350,829140,
ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,65.99
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,83.99
Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,"	AB55 3XS",340754,848623,149.99
Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,"	AB55 3QY",340754,848623,72.99
Balblair,2,3,2,1,0,0,2,0,2,1,2,1,"	IV19 1LB",270820,885770,69.99
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,"	PH26 3PF",307750,827170,
Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,"	AB55 4DH",332680,840840,64.99
BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,"	PH33 6TJ",212600,775710,94.99
Benriach,2,2,1,0,0,2,2,0,0,2,3,2,"	IV30 8SJ",323450,858380,68.99
Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,"	AB38 9NN",325800,839920,129.99
Benromach,2,2,2,0,0,2,2,1,2,2,2,2,"	IV36 3EB",303330,859350,37.99
Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,"	DG8 9AB",242260,554260,49.99
BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,"	PH16 5LY",294860,757580,68.99
Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,"	PA43 7GS",131330,659720,61.99
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,54.99
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,42.99
Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,"	PA46 7RL",142920,670040,68.99
Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,"	AB38 7RY",318790,843090,53.99
Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,"	KW9 6LB",290250,904230,69.99
Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920,59.99
Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370,72.99
Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,"	AB38 7RE",323520,841010,79.98
Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,"	IV17 0UT",266610,868730,59.99
Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,"	PH19 1AB",263670,785270,64.99
Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570,48.99
Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360,839200,64.98
Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960,757940,66.99
GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB4 3JT,372120,860400,114.99
GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 3SL,322640,861040,119.99
GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020,827590,72.99
GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610,849570,78.99
GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 3BU,340754,848623,179.98
GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,319820,862320,31.49
GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,251810,850860,69.99
GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,172090,621010,57.99
GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,327760,849140,79.99
Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,326490,841240,79.99
Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,361200,844930,54.99
Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,333000,840300,64.99
Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,320950,838160,55.99
Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,332680,840840,47.99
Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,252810,682750,59.99
Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,344380,666690,71.99
Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,319560,828780,49.99
Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,322640,861040,89.98
Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV19 1PZ,276750,883450,37.99
Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB38 7AA,327650,849170,53.99
Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH7 4HA,285630,723580,
Highland Park,2,2,3,1,0,2,1,1,1,2,1,1,KW15 1SU,345340,1009260,50.99
Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB56 5AB,342610,863970,77.98
Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,PA60 7XT,152660,667040,39.99
Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB38 7RT,319470,841570,
Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA42 7DZ,140430,645730,63.99
Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,PA42 7DU,138680,645160,51.99
Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV30 3RD,322640,861040,68.99
Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,G83 0TL,239370,680920,37.49
Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV30 3SJ,322640,861040,87.99
Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,327710,844480,61.99
Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 3SS,322640,861040,99.99
Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 3TQ,322640,861040,279.99
Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,332950,839850,45.99
Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,185940,730190,60.99
OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YE,370860,772900,64.99
OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,336730,950130,37.49
RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,286040,851320,64.98
RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,326140,794370,79.99
Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,342850,1008930,99.99
Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,326930,851430,34.99
Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,278740,800600,30.98
Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,172280,620910,69.99
Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 3BS,340754,848623,129.99
Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,342650,850500,169.99
Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,137950,831770,49.99
Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,319210,841760,60.99
Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,321180,826110,
Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,265360,869120,
Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,150450,755070,82.99
Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,279120,829630,35.99
Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,315100,825560,57.99
Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,315180,834960,199.98
Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,289690,708850,40.99
